Subject,Item,IsWord,RT,Duration,NumPhones
190136,narrowly,TRUE,1389,495,6
190004,rihlaegniyz,FALSE,859,640,8
15421,ihkstehkshaxnz,FALSE,982,760,10
16752,pianos,TRUE,825,620,6
16533,molehill,TRUE,1955,679,6
15431,kaxhhehnd,FALSE,780,559,6
190004,dihfraxmaak,FALSE,819,685,8
200051,jhahs,FALSE,872,416,3
190041,baymayaxlyax,FALSE,573,656,8
200076,tahsh,FALSE,1356,408,3
16517,blahrax,FALSE,894,400,5
15593,eyelids,TRUE,833,585,5
181170,chuwgiy,FALSE,663,384,4
190581,voiced,TRUE,716,493,4
190091,upbringing,TRUE,655,485,8
191052,millennium,TRUE,900,678,8
181126,vihslaxm,FALSE,649,492,6
200020,commentators,TRUE,1020,754,10
170459,semiconductor,TRUE,947,805,12
181139,unregulated,TRUE,899,706,12
15399,ihgmahkts,FALSE,960,584,7
16159,glaats,FALSE,1463,512,5
200104,ihnihz,FALSE,1227,455,4
15540,hhowmowmaypshaxdaxn,FALSE,954,768,12
190592,staadehmaxrz,FALSE,950,768,9
190021,riyfaedaxtrowdaxn,FALSE,1112,744,12
16337,paevaxsh,FALSE,760,504,5
191018,flurry,TRUE,1301,507,4
181139,chaejhaxsliy,FALSE,1430,560,7
190187,vaykaxst,FALSE,767,540,6
181247,ihpehrskaxgihng,FALSE,990,820,10
16012,buwpaxrstawm,FALSE,965,688,9
200012,experiencing,TRUE,925,690,12
16512,mihlaxtraxlf,FALSE,785,712,9
181126,spear,TRUE,808,482,4
15404,construct,TRUE,1252,583,9
15373,mirth,TRUE,894,484,3
200055,bihfaxr,FALSE,791,368,5
16296,chin,TRUE,1096,286,3
16016,musicals,TRUE,738,572,9
200061,payskaakiyaxnz,FALSE,1067,896,10
190415,hhawtsaxm,FALSE,1650,504,6
200030,kaakpaxflaytihng,FALSE,1031,640,11
16533,axpraestliy,FALSE,1406,651,8
16014,gehlaxvowney,FALSE,1557,712,8
190754,behfaxnaxlf,FALSE,878,658,8
190085,excuse,TRUE,1093,738,7
190027,axniyvihktfihng,FALSE,1258,856,10
16300,smutty,TRUE,1174,595,5
190879,mineralogy,TRUE,963,703,9
190074,kehdskiy,FALSE,2035,568,6
16046,appropriated,TRUE,1262,728,11
16038,ihtaxrnax,FALSE,932,504,6
15398,ultra,TRUE,1139,373,5
16344,moderator,TRUE,1030,808,7
16474,seers,TRUE,913,550,4
190147,sticking,TRUE,956,535,6
181212,axtaymihng,FALSE,1308,512,6
15365,runner,TRUE,1038,311,4
15500,iodide,TRUE,838,534,5
190970,jaw,TRUE,944,399,2
200215,clicked,TRUE,1129,392,5
